,NAME,ACCOUNTNAME__C,ACCOUNTNUMBER__C,SALESAREANAME__C,SHOPPINGCART__C,url,PAYMENTPAGEURL__C,ec_cube
0,SA00485650,00110000011xdBDAAY,SP00774402,ハッピー名刺 （PC）,EC-CUBE,www.happy-meishi.com,,
1,SA00493595,0011000000WweZfAAJ,SP00731217,五彩堂（PC・スマホ）,EC-CUBE,http://www.gosaido.co.jp/,,EC-CUBE
2,SA00470407,0011000000i5jiQAAQ,SP00739571,すまいる直送便	（PC）,EC-CUBE,http://sumachoku.jp/,,EC-CUBE
3,SA00493958,00110000013EvL0AAK,SP00775808,Beauty-Glad（PC・スマホ・フィーチャーフォン）,EC-CUBE,https://beauty-glad.jp/,,
4,SA00474617,0011000000bh4bdAAA,SP00736484,カタログギフトのハーモニック【公式サイト】（PC・スマホ）,EC-CUBE,http://www.harmonick.co.jp,,EC-CUBE
5,SA00454029,0011000000UHb8kAAD,SP00711703,すまいる直送便,EC-CUBE,http://sumachoku.jp/,,EC-CUBE
6,SA00467055,0011000000bgbbNAAQ,SP00735002,笑いーと　（PC・スマホ）,EC-CUBE,http://www.wara-eat.jp/,,EC-CUBE
