"NAME","ACCOUNTNAME__C","ACCOUNTNUMBER__C","SALESAREANAME__C","SHOPPINGCART__C","url","PAYMENTPAGEURL__C"
"SA00432676","0011000000IasHfAAJ","SP00670197","http://www.anko-shop.jp","EC-cube","http://www.anko-shop.jp",""
"SA00421444","0011000000IalrOAAR","SP00645414","http://www.rakuten.co.jp/e-kagiya/","EC-CUBE","http://www.rakuten.co.jp/e-kagiya/",""
"SA00425801","0011000000Iak4eAAB","SP00638648","にんにく畑　EC-CUBE（PC・スマホ・フィーチャーフォン）","EC-CUBE","http://www.holonic.info/",""
"SA00418318","0011000000IaqMAAAZ","SP00662797","自社サイト（PC)","EC-CUBE","http://www.una-iguchi.jp",""
"SA00429233","0011000000IajvYAAR","SP00638084","On the next Girls Style","EC-CUBE","http://onegirlsstyle.jp",""
"SA00432314","0011000000IaowSAAR","SP00657355","Create A Book Ace","EC-CUBE","http://create-a-book-ace.jp/",""
"SA00437335","0011000000IapaWAAR","SP00659839","齊藤コーヒー株式会社","EC-CUBE","http://a-coco-cocono-coffee.com/",""
"SA00437453","0011000000IapgAAAR","SP00660189","希望の環公式オンラインショップ　いい直売ネット","EC-CUBE","http://www.e-chokubai.net/",""
"SA00437486","0011000000IapgqAAB","SP00660231","ISBIT　公式通販サイト　（PC・スマホ）","EC-CUBE","http://isbit.jp/",""
"SA00428267","0011000000IaoOdAAJ","SP00655258","住設ドットコム","EC-CUBE","http://jyusetu.com",""
"SA00422989","0011000000IanajAAB","SP00652169","マーシャルワールドオンラインショップ　EC-CUBE（PC・スマホ）","EC-CUBE","http://www.mwjapan.jp/",""
"SA00430854","0011000000Iamn6AAB","SP00649092","K's FLORIST","EC-CUBE","http://www.ks-florist.net",""
"SA00432378","0011000000Iap5CAAR","SP00657897","DATVshopping（PC・スマホ・フィーチャーフォン）","EC-CUBE","http://datv.jp/shopping/",""
"SA00433519","0011000000IakKhAAJ","SP00639543","有限会社ポラリスコーポレーション","EC-CUBE","http://www.nioi-zero.jp",""
"SA00430914","0011000000IamuNAAR","SP00649543","オー　デュ　ナチュール（PC、スマホ）","EC-CUBE","http://www.eau-de-nature.com",""
"SA00434041","0011000000Ial3wAAB","SP00642448","cotora monora  EC-CUBE（PC・スマホ）","EC-CUBE","http://www.cotoramonora.com",""
"SA00418009","0011000000IaqHBAAZ","SP00662488","ショップ・アクチュアリー","EC-CUBE","www.shopactuallｙ.jp",""
"SA00425062","0011000000IaiuMAAR","SP00634166","有限会社フローリストワタリ","EC-CUBE","http://nyt.ec-cube.org",""
"SA00429922","0011000000IalQRAAZ","SP00643843","エバメール化粧品WEBショップ（PC・スマホ）","EC-CUBE","http://www.evermere-shop.jp",""
"SA00430943","0011000000IamulAAB","SP00649567","シグネチャーストア　（PC・スマホ）","EC-CUBE","http://signa.jp/store/",""
"SA00433631","0011000000IakZTAAZ","SP00640659","快眠博士公式オンラインストア　EC-CUBE（PC・スマホ）","EC-CUBE","https://www.kaimin-hakase.com/",""
"SA00428488","0011000000IaodjAAB","SP00656194","クラウディアのホームページ　（PC・スマホ）","EC-CUBE","http://www.claudia.co.jp",""
"SA00423709","0011000000IaoKvAAJ","SP00655028","自社EC","EC-CUBE","https://www.umaka.co.jp/",""
"SA00431562","0011000000IanqvAAB","SP00653068","アヴァンセオンライン　（PC・スマホ）","EC-CUBE","http://avance-online.jp","https://avance-online.jp/order/index.php"
"SA00433041","0011000000IajUcAAJ","SP00636414","電気書院オンラインショッピング（PC・スマホ）","EC-CUBE","http://www.denkishoin.co.jp/",""
"SA00433709","0011000000IakaeAAB","SP00640732","株式会社ファーストページ","EC-CUBE","http://www.premori.jp",""
"SA00438245","0011000000IajNgAAJ","SP00635988","株式会社コスメティックアカデミー","EC-CUBE","http://www.cosdemy-direct.com/shop/",""
"SA00418976","0011000000Iaj0zAAB","SP00634577","jasmin　jasmin　（PC・スマホ）","EC-CUBE","http://www.jasminjasmin.com",""
"SA00426598","0011000000IalfMAAR","SP00644768","株式会社グローバルウォーター","EC-CUBE","http://www.mizuhiroba.jp/",""
"SA00438735","0011000000IakLYAAZ","SP00639800","うかいオンラインショップ（PC・スマホ）","EC-CUBE","http://www.ukai-online.com",""
"SA00439083","0011000000IakyzAAB","SP00642245","珈夢亭オンラインショップ　三喜屋珈琲株式会社","EC-CUBE","http://mikiya-coffee.com/",""
"SA00438759","0011000000IakLzAAJ","SP00639827","DearMe","EC-CUBE","http://www.dear-me.net",""
"SA00439138","0011000000Ial59AAB","SP00642527","南海部品東京通販部","EC－CUBE","http://www.hotline-web.jp/shop/",""
"SA00439189","0011000000IbYwOAAV","SP00680221","ウエットトラストジャパン公式ショッピングサイト","EC-CUBE","http://wettrust.com/",""
"SA00439216","0011000000Ibf6NAAR","SP00680242","うわじま市場","EC－CUBE","http://www.uwajima-ichiba.com",""
"SA00440921","0011000000IakdHAAR","SP00640799","casmo+","EC－CUBE","http://www.casmo.co.jp",""
"SA00440931","0011000000IcG2lAAF","SP00685181","いんくぼーや","EC-CUBE","http://www.inkbo-ya.com",""
"SA00467202","0011000000bggMiAAI","SP00735060","MAYHEM(PC、スマホ、フィーチャーフォン)","EC-CUBE","http://mayhem.jp",""
"SA00442931","0011000000LCwdTAAT","SP00690411","農業資材販売の中川商店","EC-CUBE","http://nakagawa-syouten.co.jp",""
"SA00450408","0011000000OcsXrAAJ","SP00705455","SS-TOOLS","EC-CUBE","http://www.endmill-cutter.com",""
"SA00444010","0011000000LEXiFAAX","SP00693096","DefLab","EC-CUBE","http://chillpan.com/",""
"SA00444777","0011000000LEQj2AAH","SP00693064","Style　de　ACHER","EC-CUBE","http://www.grace-fs.com",""
"SA00445048","0011000000LFKNPAA5","SP00695711","株式会社マクロスタイル","EC-CUBE","http://macrostyle.co.jp",""
"SA00445897","0011000000MLYVOAA5","SP00697188","株式会社セルート","EC-CUBE","http://www.mimoi.com",""
"SA00445952","0011000000LEVu3AAH","SP00693086","株式会社耕文社","EC-CUBE","http://www.kohbunsha.co.jp/surunavi",""
"SA00446101","0011000000Mqnt2AAB","SP00697470","株式会社ゴーフィールド","EC-CUBE","http://www.mens-powerstone.com/",""
"SA00474462","0011000000IasfSAAR","SP00671872","三豊のおいしいもの通販","EC-CUBE","http://www.mitoyofoods.com/",""
"SA00475386","0011000000qf95iAAA","SP00746946","夜明茶屋オンラインショップ　（PC・スマホ）","EC-CUBE","http://www.sagemon.com",""
"SA00479270","0011000000p0WNaAAM","SP00745449","東栄コンクリート工業（株）オンラインショップ　（PC）","EC-CUBE","http://www.toeicon.co.jp/shop/html/",""
"SA00475438","0011000000Wuku4AAB","SP00716772","POLICE ONLINE STORE（PC、スマホ、フィーチャーフォン）","EC-CUBE","http://www.policestyle.net",""
"SA00479278","0011000000tBuDAAA0","SP00750243","PDF→CADデータweb変換サービス（PC）","EC-CUBE","https://www.zumenhenkan.com",""
"SA00475468","0011000000afvlzAAA","SP00731344","シュプリームノイ　ブランドサイト（PC・スマホ）","EC-CUBE","http://www.supreme-noi.jp/",""
"SA00475473","0011000000qfo4kAAA","SP00746998","あさぎり高原食品ネットショップ　（PC・スマホ）","EC-CUBE","http://www.asagirikogen.co.jp",""
"SA00475470","0011000000WufCzAAJ","SP00716693","Light House Beauty（スマホ、フィーチャーフォン）","EC-CUBE","http://lighthousebeauty.jp/user_data/candetosp.php",""
"SA00488527","0011000000sb7ZjAAI","SP00750090","Onlineshop enovino EC-CUBE（PC・スマホ）","EC-CUBE","http://www.enovino.jp/",""
"SA00475716","0011000000qh23EAAQ","SP00747145","Gadgetr　（PC）","EC-CUBE","http://gadget.uassist.co.jp",""
"SA00475781","0011000000bguJHAAY","SP00736387","かきのクニヒロ EC-CUBE （PC・スマホ）","EC-CUBE","http://kunihiro.net",""
"SA00480792","0011000000wEIzSAAW","SP00754721","オビアスストアー　（PC）","EC-CUBE","http://obias.jp",""
"SA00518899","0015F00001FuHBHQA3","SP00831652","リラクネクス（自社サイト）　EC-CUBE（PC・スマホ）","EC-CUBE","http://www.relaxnex.com","https://www.relaxnex.com/user_data/guide.php"
"SA00476315","0011000000IasfSAAR","SP00671872","ニュアージュ","EC-CUBE","http://www.nuage5.com/",""
"SA00476344","0011000000LD4IUAA1","SP00690458","uchi soto（PC・スマホ）","EC-CUBE","http://www.caravan-shop.jp",""
"SA00476331","0011000000rDJGPAA4","SP00748444","https://genequest.jp/","EC-CUBE","https://genequest.jp/",""
"SA00484912","0011000000Ial2LAAR","SP00642349","SHOP-ESPOIR（PC・スマホ）","EC-CUBE","http://shop.ms-espoir.co.jp/",""
"SA00476375","0011000000rDgZsAAK","SP00748459","エスピー・デパート（PC、スマホ、フィーチャーフォン）","EC-CUBE","http://www.sp-de-part.com",""
"SA00476398","0011000000rDs4nAAC","SP00748469","ジンギスカン やまか　（PC）","EC-CUBE","http://jingisukan-yamaka.com",""
"SA00476419","0011000000rE8cJAAS","SP00748483","direct OAKLEY専門店（PC・スマホ）","EC-CUBE","http://ok-direct.jp",""
"SA00476485","0011000000rELYHAA4","SP00748507","モダンビューティー公式サイト（PC、スマホ）","EC-CUBE","http://www.modernbeauty.jp",""
"SA00476602","0011000000rELYRAA4","SP00748508","ニッコー公式オンラインショップ　（PC）","EC-CUBE","http://www.nikko-tabletop.jp/",""
"SA00476687","0011000000IcWUAAA3","SP00685362","日本ロイヤルガストロ倶楽部（自社）　（PC・スマホ）","EC-CUBE","http://www.aionline-japan.com",""
"SA00491650","00110000015mrFfAAI","SP00792650","はまでんホールディングス本店　（PC・スマホ）","EC-CUBE","http://hamaden-hd.sakura.ne.jp/ec/html",""
"SA00488599","00110000014bVRVAA2","SP00780900","リブラ（PC）","EC-CUBE","http://re-blast.com/",""
"SA00476791","0011000000rkjMTAAY","SP00748658","ブラックダイヤ（PC)","EC-CUBE","http://www.blackdia.info/",""
"SA00476829","0011000000rEVifAAG","SP00748515","3a-life（PC、スマホ)","EC-CUBE","http://www.3a-life.com/",""
"SA00476888","0011000000rlkkhAAA","SP00748698","株式会社MUK（PC、スマホ）","EC-CUBE","http://demain-beauty.co/",""
"SA00476947","0011000000rmJYNAA2","SP00748709","新安定型ハイドロキノンSHOP　shq1.com　（PC・スマホ）","EC-CUBE","http://shq1.com/",""
"SA00476950","0011000000rmLwwAAE","SP00748711","自社サイト（PC、スマホ）","EC-CUBE","http://www.ainet-web.com",""
"SA00476933","0011000000kpFtmAAE","SP00742915","ビーグレン販売サイト（PC・スマホ・フィーチャーフォン）","EC-CUBE","http://www.bglen.net",""
"SA00452992","0011000000StlINAAZ","SP00710129","庵月","EC-CUBE","http://angetsu.co.jp",""
"SA00442443","0011000000LCbYtAAL","SP00689109","へんぺい麺","EC-CUBE","https://www.henpeimen.com/shopping",""
"SA00400420","0011000000Iaqt5AAB","SP00664829","株式会社諏訪田製作所","EC-CUBE","http://www.suwada.co.jp",""
"SA00410904","0011000000Ib4TJAAZ","SP00676624","スリムニ","EC-CUBE","http://slimni.jp",""
"SA00411746","0011000000IbI6uAAF","SP00679003","ANIMA Love for all.","EC－CUBE","http://www.animawebshop.com",""
"SA00439303","0011000000IbkWrAAJ","SP00680339","エンシェルクラブ","EC-CUBE","http://www.angel-club.co.jp",""
"SA00440900","0011000000IarucAAB","SP00668768","VALUEON","EC-Cube","http://www.valueon.jp/",""
"SA00441068","0011000000IcQw1AAF","SP00685309","九州高原牧場本店","EC-CUBE","http://kyushu-kogen.jp/",""
"SA00442907","0011000000LCmqbAAD","SP00690382","株式会社ＳＥＥＤＩＮＧ","EC-CUBE","http://www.s-o-c-A.com",""
"SA00443054","0011000000LDEuIAAX","SP00690514","株式会社丸栃銘木センター","EC-CUBE","http://www.mokku.jpn.com",""
"SA00443056","0011000000IarucAAB","SP00668768","事務服.biz","EC-Cube","http://www.jimufuku.biz/",""
"SA00449910","0011000000Oc4E1AAJ","SP00704998","株式会社コーゼ","EC-CUBE","http://www.cucue.com",""
"SA00445769","0011000000LF0WtAAL","SP00695542","クリエイト・ア・ブック工房","EC-CUBE","http://www.create-a-book-koubou.jp",""
"SA00445768","0011000000LF92vAAD","SP00695592","JACKET HOUSE","EC-CUBE","http://www.jackethouse-car.com/",""
